DATE,NAV
28-Oct-15,31.91380
29-Oct-15,31.85640
30-Oct-15,31.85440
02-Nov-15,31.91620
03-Nov-15,31.90600
04-Nov-15,31.87670
05-Nov-15,31.82490
06-Nov-15,31.81550
09-Nov-15,31.71900
10-Nov-15,31.79960
13-Nov-15,31.88780
16-Nov-15,31.87020
17-Nov-15,31.84030
18-Nov-15,31.82470
19-Nov-15,31.83130
20-Nov-15,31.76200
23-Nov-15,31.74520
24-Nov-15,31.79520
26-Nov-15,31.78130
27-Nov-15,31.68050
30-Nov-15,31.65080
01-Dec-15,31.76100
02-Dec-15,31.71650
03-Dec-15,31.79870
04-Dec-15,31.69970
07-Dec-15,31.71040
08-Dec-15,31.65090
09-Dec-15,31.67250
10-Dec-15,31.66480
11-Dec-15,31.69680
14-Dec-15,31.62170
15-Dec-15,31.65680
16-Dec-15,31.76020
17-Dec-15,31.78190
18-Dec-15,31.73200
21-Dec-15,31.69170
22-Dec-15,31.70600
23-Dec-15,31.76180
28-Dec-15,31.77270
29-Dec-15,31.75990
30-Dec-15,31.76960
31-Dec-15,31.75650
01-Jan-16,31.79950
04-Jan-16,31.81780
05-Jan-16,31.82460
06-Jan-16,31.83400
07-Jan-16,31.85490
08-Jan-16,31.86090
11-Jan-16,31.86200
12-Jan-16,31.85240
13-Jan-16,31.82580
14-Jan-16,31.78440
15-Jan-16,31.72760
18-Jan-16,31.71770
19-Jan-16,31.76990
20-Jan-16,31.83880
21-Jan-16,31.89840
22-Jan-16,31.87040
25-Jan-16,31.84330
27-Jan-16,31.87600
28-Jan-16,31.85100
29-Jan-16,31.90360
01-Feb-16,31.90310
02-Feb-16,31.80010
03-Feb-16,31.79190
04-Feb-16,31.82140
05-Feb-16,31.84300
08-Feb-16,31.83670
09-Feb-16,31.82560
10-Feb-16,31.84160
11-Feb-16,31.84130
12-Feb-16,31.83210
15-Feb-16,31.79020
16-Feb-16,31.72510
17-Feb-16,31.69140
18-Feb-16,31.72960
22-Feb-16,31.67080
23-Feb-16,31.57660
24-Feb-16,31.55030
25-Feb-16,31.41520
26-Feb-16,31.54190
29-Feb-16,31.92210
01-Mar-16,31.98270
02-Mar-16,31.97220
03-Mar-16,31.94630
04-Mar-16,31.92760
08-Mar-16,31.91690
